발화문,상황
내가 좋아하는 유튜버가 시청자들한테 뒷광고를 했다고 사과 영상을 올렸어.,angry
"자신은 절대로 뒷광고를 하지 않았다고 말을 했는데, 오늘 사과 영상을 보니까 너무 화가 나고 짜증이 났어.",angry
사과 영상을 봤는데 자기 변명만 하고 있었어. 사과가 진실되지 않아 보였어.,angry
나 지금 너무 화가나고 짜증이 나는데 어떤 영상을 보여줄건데?,angry
내 휴가가 엉망이야.,angry
오늘부터 일주일 동안 휴가 기간인데 휴가 기간 내내 비가 온대.,angry
가족들이랑 동해 바다에 가서 놀고 오기로 했는데 비 땜에 망했어.,angry
일년만에 받은 휴가인데 비가 도움을 안줘.,angry
휴가 기간 내내 비 소식이 있으니까 아무래도 너의 말대로 집에서 쉬면서 휴가 보낼 생각을 해야할 거 같아.,angry
화장실에 곰팡이는 청소를 해도 없어지지 않아.,angry
장마철이라서 습기가 많아서 곰팡이가 많이 생기나봐. 곰팡이를 없앨 수 있는 방법이 있을까?,angry
알았어. 그런 곳으로 한 두 군데 더 알려줘!,neutral
정말 고마워. 잘 먹고 올게.,neutral
"아니, 내가 좋아하는 유튜버가 좋은 제품이라고 하길래 나도 샀지! 그런데 알고봤더니 돈 받고 하는 광고였던 거야.",angry
더 실망스러운 건 처음엔 사과도 하지 않더라고.,angry
사람들이 막 뭐라고 하니까 억지로 하는 사과는 진정성도 없었어. 더 상처 받았어.,angry
나 혼자 갇힌 것 같아.,fear
우리집 주변으로 아무도 없어. 그리고 밖에 물이 너무 많아서 나갈 수도 없고.,fear
아니. 자고 일어났더니 재난 문자랑 대피 전화가 와 있었는데 못 받았지 뭐야.,fear
그렇다고 할 수 있지. 물로 다 싸여 있어.,fear
어. 강남역 근처에서 만나기로 했어.,neutral
나는 양식이 더 좋을 것 같애.,neutral
어. 거기로 가야겠다. 너무 좋을 것 같아.,neutral
응. 정말 고마워. 거기로 가볼게.,neutral
오늘부터 휴가인데 장마철이랑 겹쳐서 하루종일 비가 와.,angry
원래 휴가 계획은 여름 바다로 놀러가기로 했었지.,angry
그 동안 회사가 너무 바빠서 가지를 못했어. 1년 만인 것 같아.,angry
좋은 생각이야. 나도 게임이나 영화를 하고 그냥 뒹굴뒹굴 지낼래.,angry
아니 요즘 다 정말 왜 이러는 거지? 이해가 안 돼.,angry
응. 너무너무 실망스러워.,angry
아니. 그런 것 같지도 않았어.,angry
아 그거 너무 좋지. 고마워!,angry
"우와, 나 갇힌 것 같아.",fear
눈을 떠보니 밖에 온통 물 밖에 없네. 어쩌지?,fear
화장실은 청소를 해도 곰팡이가 없어지질 않아.,angry
아니. 요즘 다 왜 이러는 거야? 정말 이해가 안돼.,angry
뒷광고를 했다는 사실에 너무 화가 나고 배신감이 느껴져.,angry
갑자기 나한테 영상을 소개하면 어떡해. 내 이야기 좀 들어줘.,angry
내 휴가가 엉망이야.,angry
오늘부터 일주일 간 휴가기간인데 그 기간 동안 계속 비가 온대.,angry
휴가기간 동안 가족들이랑 서해 바다에 가서 놀다 오기로 했어. 그런데 비 때문에 망했어.,angry
그동안 너무 바쁘고 일이 많아서 일년만에 받은 휴가인데 비가 온다고 하니까 아무데도 못 갈 거 같아.,angry
화장실에 곰팡이는 아무리 청소를 해도 안 없어져.,angry
그래서 매일매일 신경쓰고 청소를 하고 있는데 곰팡이가 안 없어져.,angry
청소를 해도 곰팡이가 계속 보이니까 신경이 많이 쓰여. 곰팡이를 제거 할 수 있는 방법이 있을까?,angry
곰팡이를 제거하는데 곰팡이 제거제가 효과가 있대?,angry
나 곰팡이 제거제를 구입해서 사용해보고 싶어. 좋은 제품 좀 추천해줘.,angry
내가 쓰레기통에 음식물 쓰레기를 버렸더니 상해서 냄새가 나는 거야.,disgust
나 내일 친구랑 약속 있어. 근데 뭘 먹어야 하지?,neutral
에휴. 내가 음식물 쓰레기를 쓰레기통에 버린게 잘못이지. 얼른 청소해야겠어.,disgust
강남역이야. 복잡한 곳이지.,neutral
난 둘 다 다 좋아. 내 친구도 그럴 걸?,neutral
애피타이저 정말 좋아하지.,neutral
평점도 좋은데 리뷰도 좋으면 정말 금상첨화다.,neutral
요즘 다들 왜 이러는지 정말 이해가 안 가.,angry
"아니, 유튜버가 자꾸 좋은 제품이라고 사라고 하더라고. 그런데 알고 봤더니 뒷광고였어.",angry
억지로 하는 사과는 진정성이 없어.,angry
그런 영상 있었어? 추천 해 줘봐.,angry
나 갇힌 것 같아.,fear
자고 일어났더니 재난 문자가 와 있더라고. 자다가 못 받은 것 같애.,fear
다행히 우리 집 까지는 들어오지 않았어. 그래서 내 몸은 괜찮아.,fear
동해 바다로 갈 생각이었지.,angry
회사가 바빠서 한 달 만에 낼 수가 없어서 일 년 정도 걸렸어.,angry
맞아. 우리집 화장실은 환기구가 없어.,angry
그러게. 하루 종일 화장실만 청소하는 것 같아.,angry
그런 것도 있었어?,angry
그런게 있으면 지금 당장 구매해야지.,angry
우리집 쓰레기통에서 역겨운 냄새가 나고 있어.,disgust
그렇잖아도 바로 묶어서 버렸어.,disgust
다 내가 저지른 일이잖아.,disgust
아 짜증나! 그 새끼는 왜 집에 안 가고 내 옆에 붙어서 지랄이야. 상사놈 말이야.,angry
니가 그새끼한테 안 당해봐서 그래. 아주 몹쓸놈이야.,angry
너 땜에 기분이 더 나쁘다. 음악은 아무거나 틀어줘.,angry
나 아까 짭새 새끼들 몰려 있길래 구경 갔다 왔어.,neutral
그러니깐. 구경 갔다가 가라고 해서 구경도 못하고 왔어.,neutral
짭새 때문에 우산 들고 나갔다가 잃어버리고 왔어.,neutral
그게 궁금해서 갔다가 구경도 못했어!,neutral
그런 거 같진 않아. 금방 가더라고.,neutral
아니 요즘 다들 왜 그러는 거지? 이해가 안가네.,angry
진짜 실망스러워.,angry
진짜 신난다!,angry
밖에 비가 엄청 와서.,fear
도저히 나갈 수가 없어.,fear
괜찮아졌어.,fear
그거 좋은 방법인걸?,angry
화장실 청소를 해도 곰팡이가 안 없어져.,angry
할 수 없지 뭐.,angry
오케이! 좋았어.,angry
쓰레기통에서 역겨운 냄새가 나고 있어!,disgust
뭔가 썩고 있나봐.,disgust
빨리 버려야겠다.,disgust
그래야겠어.,disgust
응. 할 수 없지 뭐.,disgust
"아, 짜증나. 그 새끼는 일 없으면 집에나 갈 것이지 왜 히스테리를 부려?",angry
뭐가 어때서.,angry
그건 나도 모르지.,neutral
한 30분 했어.,neutral
우산 없는데.,neutral
건강은 괜찮아.,neutral
몰라. 다들 모여 있더라고.,neutral
그런건지 뭔지 모르겠어.,neutral
강남에서 만나는데 그 주변에 음식들을 잘 모르겠어. 어디서 잘 하는지.,neutral
양식보다는 일식이 더 좋은 것 같아. 그 친구도 일식을 더 좋아해.,neutral
아니 요즘은 다들 왜 그러지? 이해가 안 가네.,angry
유튜버들이 뒷광고를 하고 있어. 사람들을 속이고 허위광고를 하는거지.,angry
너무 실망스러워. 나도 가끔 보는데 이렇게까지 거짓말일지는 몰랐어.,angry
나 갇힌 것 같아!,fear
집 안에 갇혀있어. 바깥을 보니까 비가 너무 왔는지 물이 많이 차있어.,fear
자고 일어났더니 전화가 많이 와 있었더라고. 그것도 모르고 잤나봐.,fear
나갈 수가 없어. 물이 너무 많이 차올라서 엄두가 안나. 아직도 비가 오고 있고.,fear
다행히 집 안까지는 들어오지 않았어. 나도 괜찮아. 그런데 조금 무서워.,fear
오랜만에 휴가를 냈는데 비가 너무 많이 오고 태풍까지 겹쳤어. 그래서 나갈 수가 없어.,angry
바닷가에서 신나게 물놀이 하고 맛있는 것도 해먹고 재밌게 놀려고 했지.,angry
그래. 결국에는 어쩔 수 없지. 나갈 수 없으니까 집에서 휴식을 취하면서 맛있는거나 해 먹어야겠어.,angry
사과 영상을 봤는데 사과가 진실되지 않아서 더 화가 나고 실망스러웠어.,angry
내가 지금 너무 화가 난 상탠데 내 화를 잠재워줄 수 있는 영상이 있어?,angry
내 휴가가 엉망이야.,angry
오늘부터 5일 동안 휴가기간인데 휴가기간 내내 비가 온대. 이게 말이 돼?,angry
오랜만에 가족들이랑 서해바다에 가서 조개 줍고 놀다 오기로 했어. 그런데 비가 와서 갈 수가 없어.,angry
그동안 일이 많고 바빠서 1년 만에 받은 휴가인데 비가 와서 다 망했어.,angry
휴가기간 내내 비가 내린다고 하니까 너의 말대로 집에서 쉬면서 즐겁게 휴가를 보낼 수 있는 방법을 생각해봐야할 것 같아.,angry
화장실은 청소를 해도 곰팡이가 없어지질 않아.,angry
습기가 많고 환기가 잘 되지 않아서 곰팡이가 계속 생기는 거 같아서 신경을 쓰고 있는데도 곰팡이가 없어지지 않아.,angry
너의 말대로 장마철이라서 곰팡이가 계속 생기는 거 같아. 곰팡이를 쉽게 없앨 수 있는 방법 없을까?,angry
쓰레기통에서 역겨운 냄새가 나고 있어!,disgust
며칠 전에 쓰레기 통에 버린 음식물 쓰레기가 상해서 냄새가 나는 거였어.,disgust
냄새가 너무 고약해서 지금 쓰레기를 묶어서 밖으로 내놨어.,disgust
힘들어도 어떻게 하겠어. 집 안에 냄새가 장난이 아니야. 내가 벌린 일이니까 내가 얼른 치워야지.,disgust
에휴. 힘들어도 어떡하겠어. 내가 음식물 쓰레기를 쓰레기통에 버려서 생긴 일이니까 내가 처리해야지.,disgust
내일 친구랑 약속 있는데 뭘 먹어야될지 잘 모르겠어.,neutral
난 양식 좋아하고 내 친구는 일식 좋아해.,neutral
난 너무 좋은데?,neutral
고마워. 정말 마음에 드는데?,neutral
아니 요즘 다들 왜 그러는지 이해할 수가 없어.,angry
유튜버들이 돈 받고 뒷광고 하는 바람에 우리만 피해봤어.,angry
더 실망스러운 건 억지로 사과를 했다는 거야.,angry
억지로 하는 사과가 진중하게 느껴졌겠어?,angry
그런 영화 있으면 추천 좀 해줘.,angry
나 아무래도 혼자 갇힌 것 같아.,fear
우리 집 빼고는 다 물 바다가 되어있어.,fear
자고 일어났더니 재난문자가 와있더라고. 자는 바람에 피하질 못한 거야.,fear
우리집 빼고는 다 물로 채워져 있어 갖고 나갈 수가 없어.,fear
우리집은 5층이라 물이 차진 않았어 다행히.,fear
내 휴가가 엉망이야.,angry
휴가 신청 했더니 장마철이랑 겹쳤어.,angry
동해 바다로 놀러가기로 했었거든.,angry
회사가 바빠서 1년만에 휴가를 낸 거야.,angry
아무래도 영화나 보면서 지내야할 것 같아.,angry
화장실은 청소를 해도 곰팡이가 사라지질 않아.,angry
맞아. 우리 화장실은 환풍기가 없어.,angry
맞아. 장마철이라 더 많이 생기는 것 같아.,angry
내가 그 생각을 못했어.,angry
당연히 구매해야지. 괜찮은 제품으로 알려줘.,angry
쓰레기통에서 역겨운 냄새가 나기 시작했어!,disgust
내가 음식물 쓰레기도 같이 버려서 그래.,disgust
그렇잖아도 방금 갖다 버렸어.,disgust
방향제 뿌려도 괜찮을까? 쓰레기 냄새랑 섞이면 더 이상할 것 같은데.,disgust
괜찮아. 다음번엔 절대로 그렇게 하지 않을거야.,disgust
상사 또라이새끼는 왜 집에 안가고 지랄이래?,angry
그 새끼는 욕 처먹어도 된다고. 나한테 얼마나 지랄인데.,angry
내 기분 풀어주고 싶으면 헤비메탈 음악 부탁해.,angry
나 오늘 짭새가 몰려있길래 구경갔다 왔어.,neutral
창밖을 봤는데 집 주변까지 물이 차올라서 바깥으로 나갈 수가 없어. 완전히 갇히게 되었어.,fear
잘 못봤어. 근처에 오지도 못하게 하더라고.,neutral
아직까지는 집 안으로 물이 들어오지 않았어. 하지만 조만간 물이 들어올까봐 너무 걱정돼.,fear
못 보고 쫓겨났다고.,neutral
짭새가 몰려 있어서 구경하고 왔어.,neutral
짭새 구경 갔다가 우산도 잃어버리고 왔어.,neutral
난 충분히 건강하거든?,neutral
나도 그게 궁금해서 갔었던거야.,neutral
잘 몰라. 그런것 같지는 않았어.,neutral
"아, 짜증나. 그 새끼 일 다 끝났으면 집에나 가지 왜 남아가지고 나한테 뭐라고 해!",angry
"아니, 다른 사람들한테는 아무 말 안하면서 나한테만 계속 지적하고 뭐라고 하잖아! 그러니까 화가 나서 자연스럽게 욕이 나오는 거야.",angry
하긴. 욕한다고 마음이 풀리진 않더라. 그냥 음악이나 들으면서 마음을 풀어야겠어. 나는 발라드가 좋아.,angry
"와, 내일 친구를 만나는데 뭘 먹어야 될지 모르겠어.",neutral
강남역 주변에서 만나기로 했어.,neutral
나는 양식이 더 좋을 것 같아.,neutral
나 오늘 짭새가 몰려있길래 궁금해서 구경 다녀 왔어.,neutral
짭새가 왜 몰려있는지 사람들이 너무 많아서 잘 못봤어.,neutral
30분 동안 구경을 했는데 사람들이 너무 많아서 무슨 일인지 끝까지 몰랐어.,neutral
오늘 엄청 덥던데 내일 비가 오려고 그랬나보네. 우산을 집에서 가지고 가야겠어.,neutral
내일 집에서 나갈 때 우산을 가지고 나가면 비 맞을 일이 없을 거야. 요새 건강은 괜찮아.,neutral
나 오늘 짭새가 몰려있길래 구경갔다 왔어.,neutral
사람들이 하도 많이 구경을 해서 무슨 일인지 볼 수가 없었어.,neutral
나도 너무나 궁금한데 무슨 일인지 정확하게 알 수가 없었어.,neutral
응. 그래. 알겠어. 고마워.,angry
알겠어. 한 10분 봤어.,neutral
나 오늘 짭새가 몰려있어서 구경다녀왔어.,neutral
우산 없어. 어떡하지?,neutral
많이 괜찮아졌어.,neutral
나 오늘 짭새가 몰려있어서 구경다녀왔어.,neutral
그건 잘 모르겠고.,neutral
그거는 정말 모르겠어.,neutral
내일 친구를 만나기로 했는데 뭘 먹을지 모르겠어.,neutral
친구를 강남역에서 만나기로 했는데 아직도 뭘 먹을지 못 정했어.,neutral
친구랑 분위기 있게 먹기 위해서 양식이 좋을 것 같아.,neutral
평점이랑 리뷰가 좋다고 하니까 너무 기대가 돼. 기대하고 가서 잘 먹고 갔다 올게.,neutral
너가 추천한 곳이니까 믿고 가서 먹고올게. 고마워.,neutral
"아니, 요즘 다 왜 이러는 거야? 정말 이해가 안돼.",angry
내가 좋아하고 믿었던 유튜버가 뒷광고를 했다고 시청자들한테 사과하는 영상을 올렸어.,angry
